dtype	Disease	DiseaseID	starScore	UniprotID
JensenLab Text Mining	Intermediate coronary syndrome	DOID:8805	2.1	O00443
JensenLab Text Mining	Gas gangrene	DOID:9159	2.1	O00443
JensenLab Text Mining	Hypothyroidism	DOID:1459	2	O00443
JensenLab Text Mining	Compartment syndrome	DOID:682	1.9	O00443
JensenLab Text Mining	Respiratory failure	DOID:11162	1.9	O00443
JensenLab Text Mining	Status asthmaticus	DOID:9362	1.9	O00443
JensenLab Text Mining	Pneumonia	DOID:552	1.8	O00443
JensenLab Text Mining	Pericarditis	DOID:1787	1.8	O00443
JensenLab Text Mining	Trichinosis	DOID:9784	1.8	O00443
JensenLab Text Mining	Metabolic acidosis	DOID:0050758	1.7	O00443
JensenLab Text Mining	Polycystic kidney disease	DOID:898	1.7	O00443
JensenLab Text Mining	Legionnaires' disease	DOID:10457	1.7	O00443
JensenLab Text Mining	Ornithosis	DOID:11262	1.6	O00443
JensenLab Text Mining	Pericardial effusion	DOID:118	1.6	O00443
JensenLab Text Mining	Leptospirosis	DOID:2297	1.6	O00443
JensenLab Text Mining	Cerebrovascular disease	DOID:6713	1.5	O00443
JensenLab Text Mining	Diarrhea	DOID:13250	1.5	O00443
JensenLab Text Mining	Seckel syndrome	DOID:0050569	2	O00444
JensenLab Text Mining	Microcephaly	DOID:10907	1.7	O00444
JensenLab Text Mining	Carotid artery thrombosis	DOID:3410	1.7	O00444
JensenLab Text Mining	Cancer	DOID:162	1.7	O00444
JensenLab Experiment DistiLD	Osteoporosis	DOID:11476	2	O00482
JensenLab Experiment DistiLD	Pancreatic cancer	DOID:1793	2	O00482
JensenLab Experiment DistiLD	Crohn's disease	DOID:8778	2	O00482
JensenLab Text Mining	Leydig cell tumor	DOID:2696	2.5	O00482
JensenLab Text Mining	Cancer	DOID:162	1.7	O00482
JensenLab Text Mining	Dental caries	DOID:216	1.5	O00482
JensenLab Text Mining	Pseudopseudohypoparathyroidism	DOID:4183	2.1	O00506
JensenLab Text Mining	Albright's hereditary osteodystrophy	DOID:0080053	1.8	O00506
JensenLab Text Mining	Brachydactyly	DOID:0050581	1.7	O00506
JensenLab Knowledge GHR	Familial hemiplegic migraine	DOID:0060178	5	O00555
JensenLab Knowledge UniProtKB-KW	Neurodegenerative disease	DOID:1289	4	O00555
JensenLab Knowledge UniProtKB-KW	Autosomal dominant cerebellar ataxia	DOID:1441	4	O00555
JensenLab Knowledge UniProtKB-KW	Epilepsy	DOID:1826	4	O00555
JensenLab Knowledge GHR	Episodic ataxia	DOID:963	5	O00555
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O00555
JensenLab Text Mining	Migraine	DOID:6364	3.5	O00555
JensenLab Text Mining	Cerebellar ataxia	DOID:0050753	3.3	O00555
JensenLab Text Mining	Hemiplegia	DOID:10969	2.5	O00555
JensenLab Text Mining	Phenylketonuria	DOID:9281	2.2	O00555
JensenLab Text Mining	Benign paroxysmal positional nystagmus	DOID:13941	1.7	O00555
JensenLab Text Mining	Dystonia	DOID:543	1.7	O00555
JensenLab Text Mining	Meniere's disease	DOID:9849	1.7	O00555
JensenLab Text Mining	Retrocochlear disease	DOID:2889	1.6	O00555
JensenLab Text Mining	Intellectual disability	DOID:1059	1.6	O00555
JensenLab Text Mining	Acquired immunodeficiency syndrome	DOID:635	2	O00574
JensenLab Text Mining	Inflammatory bowel disease	DOID:0050589	2.4	O00590
JensenLab Text Mining	Kawasaki disease	DOID:13378	1.7	O00590
JensenLab Text Mining	Sclerosing cholangitis	DOID:14268	1.6	O00590
JensenLab Text Mining	Reticular dysgenesis	DOID:0060020	2	O00746
JensenLab Experiment DistiLD	Ulcerative colitis	DOID:8577	2	O00750
JensenLab Text Mining	Centronuclear myopathy	DOID:14717	1.6	O00750
JensenLab Knowledge UniProtKB-KW	Microcephaly	DOID:10907	4	O14578
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O14578
JensenLab Text Mining	Atrial fibrillation	DOID:0060224	2.1	O14649
JensenLab Text Mining	Hypertension	DOID:10763	1.8	O14649
JensenLab Text Mining	Conn's syndrome	DOID:12028	1.8	O14649
JensenLab Text Mining	Central sleep apnea	DOID:9220	1.8	O14649
JensenLab Text Mining	Hyperaldosteronism	DOID:446	1.6	O14649
JensenLab Text Mining	Retinitis pigmentosa	DOID:10584	1.9	O14718
JensenLab Text Mining	Cervical cancer	DOID:4362	1.5	O14718
JensenLab Text Mining	Diverticulitis	DOID:7475	2.3	O14730
JensenLab Text Mining	Cancer	DOID:162	3.4	O14733
JensenLab Text Mining	Vascular disease	DOID:178	1.9	O14733
JensenLab Text Mining	Exanthem	DOID:0050486	1.8	O14733
JensenLab Text Mining	Cardiofaciocutaneous syndrome	DOID:0060233	1.8	O14733
JensenLab Text Mining	Noonan syndrome	DOID:3490	1.7	O14733
JensenLab Text Mining	Costello syndrome	DOID:0050469	1.7	O14733
JensenLab Text Mining	Paronychia	DOID:13117	1.6	O14733
JensenLab Text Mining	Toxic encephalopathy	DOID:3602	1.6	O14733
JensenLab Text Mining	Diarrhea	DOID:13250	1.6	O14733
JensenLab Text Mining	Cancer	DOID:162	2.9	O14757
JensenLab Text Mining	Ataxia telangiectasia	DOID:12704	2.4	O14757
JensenLab Text Mining	Seckel syndrome	DOID:0050569	2	O14757
JensenLab Text Mining	Aplastic anemia	DOID:12449	1.9	O14757
JensenLab Text Mining	Nijmegen breakage syndrome	DOID:7400	1.6	O14757
JensenLab Knowledge UniProtKB-KW	Epilepsy	DOID:1826	4	O14764
JensenLab Knowledge GHR	Juvenile myoclonic epilepsy	DOID:4890	5	O14764
JensenLab Text Mining	Chromosome 1p36 deletion syndrome	DOID:0060410	2.7	O14764
JensenLab Text Mining	Baraitser-Winter syndrome	DOID:0060229	2	O14764
JensenLab Text Mining	Postpartum depression	DOID:9478	1.7	O14764
JensenLab Text Mining	Intellectual disability	DOID:1059	1.5	O14764
JensenLab Text Mining	Paralytic poliomyelitis	DOID:0050515	1.6	O14804
JensenLab Text Mining	Postpoliomyelitis syndrome	DOID:4952	1.6	O14804
JensenLab Text Mining	Diabetes mellitus	DOID:9351	2.5	O14842
JensenLab Text Mining	Hypoglycemia	DOID:9993	1.9	O14842
JensenLab Text Mining	Obesity	DOID:9970	1.7	O14842
JensenLab Text Mining	Obesity	DOID:9970	1.9	O14843
JensenLab Text Mining	Diabetes mellitus	DOID:9351	1.6	O14843
JensenLab Text Mining	Maple syrup urine disease	DOID:9269	1.7	O14874
JensenLab Text Mining	Autistic disorder	DOID:12849	1.7	O14874
JensenLab Knowledge UniProtKB-KW	Severe combined immunodeficiency	DOID:627	4	O14920
JensenLab Text Mining	Cancer	DOID:162	2.4	O14920
JensenLab Text Mining	Obesity	DOID:9970	1.9	O14920
JensenLab Text Mining	Diabetes mellitus	DOID:9351	1.8	O14920
JensenLab Text Mining	Arthritis	DOID:848	1.7	O14920
JensenLab Knowledge UniProtKB-KW	Intellectual disability	DOID:1059	4	O14936
JensenLab Knowledge GHR	FG syndrome	DOID:14711	5	O14936
JensenLab Text Mining	Microcephaly	DOID:10907	1.9	O14936
JensenLab Text Mining	Congenital nystagmus	DOID:9649	1.7	O14936
JensenLab Text Mining	Lobular neoplasia	DOID:3010	1.7	O14936
JensenLab Text Mining	Pontocerebellar hypoplasia	DOID:0060264	1.5	O14936
JensenLab Knowledge UniProtKB-KW	Cancer	DOID:162	4	O14965
JensenLab Text Mining	Measles	DOID:8622	2.4	O14965
JensenLab Text Mining	Donohue Syndrome	DOID:0050470	2.2	O14965
JensenLab Text Mining	Parkinson's disease	DOID:14330	2.3	O14976
JensenLab Experiment DistiLD	Kidney disease	DOID:557	2	O14986
JensenLab Text Mining	Friedreich ataxia	DOID:12705	2.5	O14986
JensenLab Experiment DistiLD	Epilepsy	DOID:1826	2	O15021
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O15021
JensenLab Experiment DistiLD	Acquired immunodeficiency syndrome	DOID:635	1	O15021
JensenLab Experiment DistiLD	Glaucoma	DOID:1686	2	O15075
JensenLab Experiment DistiLD	Asthma	DOID:2841	1	O15075
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O15075
JensenLab Text Mining	Lissencephaly	DOID:0050453	2.2	O15075
JensenLab Text Mining	Cancer	DOID:162	1.8	O15075
JensenLab Text Mining	Popliteal pterygium syndrome	DOID:0060055	2	O15111
JensenLab Text Mining	Cancer	DOID:162	1.9	O15111
JensenLab Knowledge GHR	Congenital myasthenic syndrome	DOID:3635	5	O15146
JensenLab Text Mining	Myasthenia gravis	DOID:437	3.9	O15146
JensenLab Text Mining	Lambert-Eaton myasthenic syndrome	DOID:0050214	2.8	O15146
JensenLab Text Mining	Thymoma	DOID:3275	2.6	O15146
JensenLab Text Mining	Ptosis	DOID:0060260	2.2	O15146
JensenLab Text Mining	Good syndrome	DOID:0060028	1.9	O15197
JensenLab Text Mining	Cancer	DOID:162	1.6	O15197
JensenLab Knowledge UniProtKB-KW	Intellectual disability	DOID:1059	4	O15247
JensenLab Text Mining	Cystic lymphangioma	DOID:3081	1.7	O15247
JensenLab Knowledge UniProtKB-KW	Congenital stationary night blindness	DOID:0050534	4	O15303
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O15303
JensenLab Text Mining	Night blindness	DOID:8499	3.3	O15303
JensenLab Text Mining	Suppression amblyopia	DOID:10375	1.8	O15303
JensenLab Text Mining	Myopia	DOID:11830	1.8	O15303
JensenLab Text Mining	Parkinson's disease	DOID:14330	2.4	O15354
JensenLab Knowledge UniProtKB-KW	Epilepsy	DOID:1826	4	O15399
JensenLab Text Mining	Schizophrenia	DOID:5419	2.2	O15399
JensenLab Text Mining	Toxic encephalopathy	DOID:3602	1.6	O15399
JensenLab Text Mining	Parkinson's disease	DOID:14330	1.5	O15399
JensenLab Text Mining	Cancer	DOID:162	1.8	O15530
JensenLab Text Mining	Glaucoma	DOID:1686	1.6	O15530
JensenLab Text Mining	Coronary thrombosis	DOID:11847	1.5	O15547
JensenLab Text Mining	Obesity	DOID:9970	2	O15552
JensenLab Text Mining	Diabetes mellitus	DOID:9351	1.7	O15552
JensenLab Text Mining	Inflammatory bowel disease	DOID:0050589	1.5	O15552
JensenLab Knowledge UniProtKB-KW	Congenital hemolytic anemia	DOID:589	4	O15554
JensenLab Text Mining	Sickle cell anemia	DOID:10923	1.8	O15554
JensenLab Text Mining	Vascular disease	DOID:178	1.6	O15554
JensenLab Text Mining	Cystic fibrosis	DOID:1485	1.6	O15554
JensenLab Text Mining	Lymphocytic colitis	DOID:0060184	1.5	O43187
JensenLab Text Mining	Gastroparesis	DOID:11914	3.1	O43193
JensenLab Text Mining	Ileus	DOID:8440	2.1	O43193
JensenLab Text Mining	Dyspepsia	DOID:2321	2.1	O43193
JensenLab Text Mining	Functional colonic disease	DOID:3877	1.8	O43193
JensenLab Text Mining	Constipation	DOID:2089	1.7	O43193
JensenLab Text Mining	Diabetic autonomic neuropathy	DOID:11503	1.7	O43193
JensenLab Experiment DistiLD	Cardiovascular system disease	DOID:1287	2	O43194
JensenLab Text Mining	Plummer's disease	DOID:11277	1.5	O43194
JensenLab Text Mining	Alexander disease	DOID:4252	2	O43283
JensenLab Text Mining	Parkinson's disease	DOID:14330	1.7	O43283
JensenLab Experiment DistiLD	Attention deficit hyperactivity disorder	DOID:1094	2	O43318
JensenLab Experiment DistiLD	Leprosy	DOID:1024	2	O43353
JensenLab Text Mining	Crohn's disease	DOID:8778	2	O43353
JensenLab Text Mining	Blau syndrome	DOID:0050678	1.7	O43353
JensenLab Knowledge UniProtKB-KW	Neurodegenerative disease	DOID:1289	4	O43424
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O43424
JensenLab Text Mining	Chronic fatigue syndrome	DOID:8544	2.4	O43424
JensenLab Text Mining	Cerebellar ataxia	DOID:0050753	2.1	O43424
JensenLab Text Mining	alcohol-related neurodevelopmental disorder	DOID:0050667	1.7	O43424
JensenLab Knowledge UniProtKB-KW	Neurodegenerative disease	DOID:1289	4	O43497
JensenLab Knowledge UniProtKB-KW	Autosomal dominant cerebellar ataxia	DOID:1441	4	O43497
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O43497
JensenLab Text Mining	Colorectal cancer	DOID:9256	2	O43497
JensenLab Text Mining	Epilepsy	DOID:1826	1.7	O43497
JensenLab Knowledge GHR	Benign neonatal seizures	DOID:14264	5	O43525
JensenLab Knowledge UniProtKB-KW	Epilepsy	DOID:1826	4	O43525
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O43525
JensenLab Text Mining	Long QT syndrome	DOID:2843	1.8	O43525
JensenLab Text Mining	Trichorhinophalangeal syndrome type II	DOID:4998	1.6	O43525
JensenLab Text Mining	Episodic ataxia	DOID:963	1.5	O43525
JensenLab Knowledge UniProtKB-KW	Intellectual disability	DOID:1059	4	O43526
JensenLab Knowledge GHR	Benign neonatal seizures	DOID:14264	5	O43526
JensenLab Knowledge UniProtKB-KW	Epilepsy	DOID:1826	4	O43526
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O43526
JensenLab Text Mining	Glycine encephalopathy	DOID:9268	1.7	O43526
JensenLab Text Mining	Long QT syndrome	DOID:2843	1.7	O43526
JensenLab Text Mining	Aicardi syndrome	DOID:8461	1.6	O43526
JensenLab Text Mining	Epilepsy	DOID:1826	1.8	O43603
JensenLab Text Mining	Head and neck cancer	DOID:11934	1.6	O43603
JensenLab Text Mining	Narcolepsy	DOID:8986	2.6	O43613
JensenLab Text Mining	Seasonal affective disorder	DOID:0060167	2	O43613
JensenLab Text Mining	Cannabis dependence	DOID:1849	1.6	O43613
JensenLab Text Mining	Pain agnosia	DOID:0060145	1.6	O43613
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O43614
JensenLab Experiment DistiLD	Acquired immunodeficiency syndrome	DOID:635	2	O43614
JensenLab Text Mining	Narcolepsy	DOID:8986	3.2	O43614
JensenLab Text Mining	Cannabis dependence	DOID:1849	1.8	O43614
JensenLab Text Mining	Heroin dependence	DOID:9976	1.5	O43614
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O43683
JensenLab Text Mining	Cancer	DOID:162	2	O43683
JensenLab Text Mining	Amenorrhea	DOID:13938	1.9	O43749
JensenLab Text Mining	Down syndrome	DOID:14250	1.7	O43781
JensenLab Text Mining	asbestos-related lung carcinoma	DOID:7596	2.5	O43930
JensenLab Text Mining	Nodular basal cell carcinoma	DOID:4280	2	O43930
JensenLab Text Mining	FG syndrome	DOID:14711	2	O43930
JensenLab Text Mining	Chondrodysplasia punctata	DOID:2581	1.9	O43930
JensenLab Text Mining	Testicular disease	DOID:2519	1.7	O43930
JensenLab Text Mining	Polycystic kidney disease	DOID:898	1.5	O43930
JensenLab Experiment DistiLD	Vascular disease	DOID:178	1	O60229
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O60229
JensenLab Text Mining	Keratomalacia	DOID:11267	2	O60229
JensenLab Text Mining	Exanthem	DOID:0050486	1.9	O60229
JensenLab Text Mining	Schizophrenia	DOID:5419	1.7	O60229
JensenLab Text Mining	Human immunodeficiency virus infectious disease	DOID:526	1.7	O60229
JensenLab Text Mining	Beriberi	DOID:13725	1.6	O60229
JensenLab Text Mining	X-linked nonsyndromic deafness	DOID:0050566	1.5	O60229
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O60241
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O60242
JensenLab Text Mining	Lethal congenital contracture syndrome	DOID:0060558	2.8	O60331
JensenLab Text Mining	Neurogenic bladder	DOID:12143	1.6	O60331
JensenLab Text Mining	Nonsyndromic congenital nail disorder 1	DOID:0080079	2.3	O60353
JensenLab Text Mining	Childhood absence epilepsy	DOID:1825	2.5	O60359
JensenLab Text Mining	Juvenile absence epilepsy	DOID:0060172	2.2	O60359
JensenLab Text Mining	Idiopathic generalized epilepsy	DOID:1827	1.9	O60359
JensenLab Text Mining	Spinocerebellar ataxia type 2	DOID:0050955	1.7	O60359
JensenLab Text Mining	Interstitial cystitis	DOID:13949	2.8	O60361
JensenLab Text Mining	Cancer	DOID:162	2	O60361
JensenLab Text Mining	Pain disorder	DOID:0060164	1.9	O60361
JensenLab Text Mining	lingual-facial-buccal dyskinesia	DOID:9854	2	O60391
JensenLab Text Mining	Schizophrenia	DOID:5419	1.8	O60391
JensenLab Text Mining	Opioid abuse	DOID:11206	1.8	O60391
JensenLab Knowledge UniProtKB-KW	Cancer	DOID:162	4	O60566
JensenLab Text Mining	Alternating exotropia	DOID:1142	2.4	O60566
JensenLab Text Mining	Mitral valve stenosis	DOID:1754	1.7	O60566
JensenLab Text Mining	Microcephaly	DOID:10907	1.6	O60566
JensenLab Knowledge UniProtKB-KW	Cancer	DOID:162	4	O60674
JensenLab Knowledge GHR	Hemorrhagic thrombocythemia	DOID:2224	5	O60674
JensenLab Knowledge GHR	Myelofibrosis	DOID:4971	5	O60674
JensenLab Knowledge GHR	Polycythemia vera	DOID:8997	5	O60674
JensenLab Experiment COSMIC	Immune system cancer	DOID:0060083	4	O60674
JensenLab Experiment COSMIC	Lymphoid leukemia	DOID:10747	1	O60674
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O60674
JensenLab Experiment DistiLD	Bone marrow cancer	DOID:4960	2	O60674
JensenLab Experiment DistiLD	Ulcerative colitis	DOID:8577	1	O60674
JensenLab Experiment DistiLD	Crohn's disease	DOID:8778	2	O60674
JensenLab Text Mining	Hemorrhagic disease	DOID:2213	3.5	O60674
JensenLab Text Mining	Hepatic vein thrombosis	DOID:11512	2.7	O60674
JensenLab Text Mining	Anemia	DOID:2355	2.4	O60674
JensenLab Text Mining	Primary polycythemia	DOID:10780	2.2	O60674
JensenLab Text Mining	Portal vein thrombosis	DOID:11695	2	O60674
JensenLab Text Mining	Mastocytosis	DOID:350	1.8	O60674
JensenLab Text Mining	Obesity	DOID:9970	1.7	O60674
JensenLab Text Mining	Acquired polycythemia	DOID:2834	1.7	O60674
JensenLab Text Mining	Arthritis	DOID:848	1.6	O60674
JensenLab Text Mining	Portal hypertension	DOID:10762	1.6	O60674
JensenLab Text Mining	Erythromelalgia	DOID:9240	1.5	O60674
JensenLab Knowledge UniProtKB-KW	Epilepsy	DOID:1826	4	O60741
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O60741
JensenLab Text Mining	Essential tremor	DOID:4990	1.8	O60741
JensenLab Text Mining	Panic disorder	DOID:594	1.6	O60741
JensenLab Knowledge UniProtKB-KW	Congenital stationary night blindness	DOID:0050534	4	O60840
JensenLab Knowledge UniProtKB-KW	cone-rod dystrophy	DOID:0050572	4	O60840
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O60840
JensenLab Text Mining	Night blindness	DOID:8499	3.6	O60840
JensenLab Text Mining	Aland Island eye disease	DOID:0050630	2.8	O60840
JensenLab Text Mining	Myopia	DOID:11830	2.3	O60840
JensenLab Text Mining	Hyperopia	DOID:9834	1.8	O60840
JensenLab Text Mining	Ocular albinism	DOID:0050633	1.7	O60840
JensenLab Text Mining	Fundus albipunctatus	DOID:11105	1.6	O60840
JensenLab Text Mining	Retinal degeneration	DOID:8466	1.6	O60840
JensenLab Text Mining	Achromatopsia	DOID:13911	1.5	O60840
JensenLab Text Mining	Astigmatism	DOID:11782	1.5	O60840
JensenLab Knowledge UniProtKB-KW	Leber congenital amaurosis	DOID:14791	4	O60928
JensenLab Knowledge UniProtKB-KW	Cataract	DOID:83	4	O60928
JensenLab Text Mining	Vitreous syneresis	DOID:11816	2.9	O60928
JensenLab Text Mining	Stickler syndrome	DOID:0080046	2.1	O60928
JensenLab Text Mining	Choroid plexus carcinoma	DOID:5648	2	O60928
JensenLab Text Mining	Retinal detachment	DOID:5327	1.8	O60928
JensenLab Text Mining	Schnyder corneal dystrophy	DOID:0060456	1.5	O60928
JensenLab Knowledge GHR	Brugada syndrome	DOID:0050451	5	O60939
JensenLab Knowledge UniProtKB-KW	Familial atrial fibrillation	DOID:0050650	4	O60939
JensenLab Text Mining	Epilepsy	DOID:1826	1.7	O60939
JensenLab Text Mining	Cancer	DOID:162	1.8	O75084
JensenLab Experiment DistiLD	Heart disease	DOID:114	1	O75116
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O75116
JensenLab Text Mining	Impotence	DOID:1875	1.9	O75116
JensenLab Text Mining	Hypertension	DOID:10763	1.9	O75116
JensenLab Text Mining	Cancer	DOID:162	1.7	O75116
JensenLab Experiment DistiLD	Heart conduction disease	DOID:10273	1	O75191
JensenLab Text Mining	Cancer	DOID:162	1.9	O75385
JensenLab Text Mining	Secondary progressive multiple sclerosis	DOID:0050783	2	O75388
JensenLab Text Mining	Chromosome 6pter-p24 deletion syndrome	DOID:0060422	1.8	O75460
JensenLab Text Mining	Cancer	DOID:162	1.7	O75460
JensenLab Text Mining	Cholestasis	DOID:13580	2.6	O75469
JensenLab Text Mining	Cancer	DOID:162	2.1	O75469
JensenLab Text Mining	Leber congenital amaurosis	DOID:14791	2.1	O75469
JensenLab Text Mining	Inflammatory bowel disease	DOID:0050589	1.9	O75469
JensenLab Text Mining	Liver disease	DOID:409	1.9	O75469
JensenLab Text Mining	Androgen insensitivity syndrome	DOID:4674	1.8	O75469
JensenLab Text Mining	Cerebrotendinous xanthomatosis	DOID:4810	1.7	O75469
JensenLab Text Mining	Sclerosing cholangitis	DOID:14268	1.6	O75469
JensenLab Text Mining	Bilirubin metabolic disorder	DOID:2741	1.5	O75469
JensenLab Text Mining	Cancer	DOID:162	2.3	O75473
JensenLab Text Mining	Adenoma	DOID:657	2.1	O75473
JensenLab Text Mining	Intestinal benign neoplasm	DOID:4610	1.7	O75473
JensenLab Knowledge UniProtKB-KW	Parkinson's disease	DOID:14330	4	O75569
JensenLab Knowledge UniProtKB-KW	Dystonia	DOID:543	4	O75569
