uniprot	sym	idgfam	tdl	name
P30939	HTR1F	GPCR	Tchem	5-hydroxytryptamine receptor 1F
Q8WXA8	HTR3C	IC	Tchem	5-hydroxytryptamine receptor 3C
Q13639	HTR4	GPCR	Tclin	5-hydroxytryptamine receptor 4
Q2M2I8	AAK1	Kinase	Tchem	AP2-associated protein kinase 1
Q9Y478	PRKAB1	Kinase	Tchem	5'-AMP-activated protein kinase subunit beta-1
P42684	ABL2	Kinase	Tchem	Abelson tyrosine-protein kinase 2
P28222	HTR1B	GPCR	Tclin	5-hydroxytryptamine receptor 1B
P28223	HTR2A	GPCR	Tclin	5-hydroxytryptamine receptor 2A
P41595	HTR2B	GPCR	Tclin	5-hydroxytryptamine receptor 2B
P0DMS8	ADORA3	GPCR	Tchem	Adenosine receptor A3
P18089	ADRA2B	GPCR	Tclin	Alpha-2B adrenergic receptor
P18825	ADRA2C	GPCR	Tclin	Alpha-2C adrenergic receptor
Q7Z695	ADCK2	Kinase	Tbio	Uncharacterized aarF domain-containing protein kinase 2
Q9BRR6	ADPGK	Kinase	Tbio	ADP-dependent glucokinase
O60241	ADGRB2	GPCR	Tbio	Adhesion G protein-coupled receptor B2
Q86SQ3	ADGRE4P	GPCR	Tdark	Putative adhesion G protein-coupled receptor E4P
Q5T601	ADGRF1	GPCR	Tdark	Adhesion G-protein coupled receptor F1
Q9Y653	ADGRG1	GPCR	Tbio	Adhesion G-protein coupled receptor G1
P50052	AGTR2	GPCR	Tchem	Type-2 angiotensin II receptor
P20594	NPR2	Kinase	Tbio	Atrial natriuretic peptide receptor 2
P30556	AGTR1	GPCR	Tclin	Type-1 angiotensin II receptor
P31751	AKT2	Kinase	Tchem	RAC-beta serine/threonine-protein kinase
Q96L96	ALPK3	Kinase	Tdark	Alpha-protein kinase 3
Q16671	AMHR2	Kinase	Tbio	Anti-Muellerian hormone type-2 receptor
Q16570	ACKR1	GPCR	Tbio	Atypical chemokine receptor 1
Q8NER5	ACVR1C	Kinase	Tbio	Activin receptor type-1C
Q04771	ACVR1	Kinase	Tchem	Activin receptor type-1
Q8IZF6	ADGRG4	GPCR	Tdark	Adhesion G-protein coupled receptor G4
O94910	ADGRL1	GPCR	Tbio	Adhesion G protein-coupled receptor L1
Q9HBW9	ADGRL4	GPCR	Tbio	Adhesion G protein-coupled receptor L4
Q9Y243	AKT3	Kinase	Tchem	RAC-gamma serine/threonine-protein kinase
P29275	ADORA2B	GPCR	Tclin	Adenosine receptor A2b
Q04844	CHRNE	IC	Tclin	Acetylcholine receptor subunit epsilon
P08172	CHRM2	GPCR	Tclin	Muscarinic acetylcholine receptor M2
P08912	CHRM5	GPCR	Tclin	Muscarinic acetylcholine receptor M5
Q01718	MC2R	GPCR	Tclin	Adrenocorticotropic hormone receptor
O60242	ADGRB3	GPCR	Tbio	Adhesion G protein-coupled receptor B3
P36896	ACVR1B	Kinase	Tchem	Activin receptor type-1B
P37023	ACVRL1	Kinase	Tchem	Serine/threonine-protein kinase receptor R3
P25100	ADRA1D	GPCR	Tclin	Alpha-1D adrenergic receptor
Q8IWK6	ADGRA3	GPCR	Tbio	Adhesion G protein-coupled receptor A3
Q7Z7M1	ADGRD2	GPCR	Tdark	Adhesion G-protein coupled receptor D2
Q14246	ADGRE1	GPCR	Tbio	Adhesion G protein-coupled receptor E1
Q9UHX3	ADGRE2	GPCR	Tbio	Adhesion G protein-coupled receptor E2
Q8IZF5	ADGRF3	GPCR	Tdark	Adhesion G-protein coupled receptor F3
Q8IZP9	ADGRG2	GPCR	Tbio	Adhesion G-protein coupled receptor G2
Q8IZF4	ADGRG5	GPCR	Tdark	Adhesion G-protein coupled receptor G5
Q8NFD2	ANKK1	Kinase	Tchem	Ankyrin repeat and protein kinase domain-containing protein 1
P08588	ADRB1	GPCR	Tclin	Beta-1 adrenergic receptor
Q9BY15	ADGRE3	GPCR	Tbio	Adhesion G protein-coupled receptor E3
Q8IZF3	ADGRF4	GPCR	Tdark	Adhesion G protein-coupled receptor F4
Q8IZF2	ADGRF5	GPCR	Tbio	Adhesion G protein-coupled receptor F5
O95490	ADGRL2	GPCR	Tbio	Adhesion G protein-coupled receptor L2
Q9HAR2	ADGRL3	GPCR	Tbio	Adhesion G protein-coupled receptor L3
P20309	CHRM3	GPCR	Tclin	Muscarinic acetylcholine receptor M3
P07550	ADRB2	GPCR	Tclin	Beta-2 adrenergic receptor
Q6QNK2	ADGRD1	GPCR	Tbio	Adhesion G-protein coupled receptor D1
Q8IZF7	ADGRF2	GPCR	Tdark	Adhesion G-protein coupled receptor F2
Q86Y34	ADGRG3	GPCR	Tchem	Adhesion G protein-coupled receptor G3
Q96K78	ADGRG7	GPCR	Tdark	Adhesion G-protein coupled receptor G7
Q86TB3	ALPK2	Kinase	Tdark	Alpha-protein kinase 2
Q96QP1	ALPK1	Kinase	Tbio	Alpha-protein kinase 1
P10275	AR	NR	Tclin	Androgen receptor
Q5XXA6	ANO1	IC	Tclin	Anoctamin-1
P31749	AKT1	Kinase	Tchem	RAC-alpha serine/threonine-protein kinase
Q9UM73	ALK	Kinase	Tclin	ALK tyrosine kinase receptor
Q4KMQ2	ANO6	IC	Tbio	Anoctamin-6
P08913	ADRA2A	GPCR	Tclin	Alpha-2A adrenergic receptor
Q86SQ6	ADGRA1	GPCR	Tdark	Adhesion G protein-coupled receptor A1
Q96PE1	ADGRA2	GPCR	Tbio	Adhesion G protein-coupled receptor A2
P16066	NPR1	Kinase	Tclin	Atrial natriuretic peptide receptor 1
Q9NQ90	ANO2	IC	Tbio	Anoctamin-2
P10398	ARAF	Kinase	Tchem	Serine/threonine-protein kinase A-Raf
P35414	APLNR	GPCR	Tchem	Apelin receptor
P25098	GRK2	Kinase	Tchem	Beta-adrenergic receptor kinase 1
P35626	GRK3	Kinase	Tchem	Beta-adrenergic receptor kinase 2
Q16515	ASIC2	IC	Tbio	Acid-sensing ion channel 2
P78348	ASIC1	IC	Tchem	Acid-sensing ion channel 1
Q9NY37	ASIC5	IC	Tbio	Acid-sensing ion channel 5
P27037	ACVR2A	Kinase	Tchem	Activin receptor type-2A
Q13315	ATM	Kinase	Tchem	Serine-protein kinase ATM
O14965	AURKA	Kinase	Tchem	Aurora kinase A
Q9UHC3	ASIC3	IC	Tchem	Acid-sensing ion channel 3
Q96FT7	ASIC4	IC	Tbio	Acid-sensing ion channel 4
Q9UQB9	AURKC	Kinase	Tchem	Aurora kinase C
O14514	ADGRB1	GPCR	Tbio	Brain-specific angiogenesis inhibitor 1
P51451	BLK	Kinase	Tchem	Tyrosine-protein kinase Blk
Q13535	ATR	Kinase	Tchem	Serine/threonine-protein kinase ATR
O14874	BCKDK	Kinase	Tbio	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial
Q8NFU0	BEST4	IC	Tbio	Bestrophin-4
Q8N1M1	BEST3	IC	Tbio	Bestrophin-3
Q8NFU1	BEST2	IC	Tbio	Bestrophin-2
Q13705	ACVR2B	Kinase	Tchem	Activin receptor type-2B
P36894	BMPR1A	Kinase	Tchem	Bone morphogenetic protein receptor type-1A
Q96GD4	AURKB	Kinase	Tchem	Aurora kinase B
Q9NSY1	BMP2K	Kinase	Tchem	BMP-2-inducible protein kinase
Q13873	BMPR2	Kinase	Tchem	Bone morphogenetic protein receptor type-2
O60566	BUB1B	Kinase	Tbio	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta
O00555	CACNA1A	IC	Tchem	Voltage-dependent P/Q-type calcium channel subunit alpha-1A
Q13698	CACNA1S	IC	Tchem	Voltage-dependent L-type calcium channel subunit alpha-1S
Q02641	CACNB1	IC	Tbio	Voltage-dependent L-type calcium channel subunit beta-1
Q9HA72	CALHM2	IC	Tdark	Calcium homeostasis modulator protein 2
Q8NCB2	CAMKV	Kinase	Tbio	CaM kinase-like vesicle-associated protein
Q16581	C3AR1	GPCR	Tchem	C3a anaphylatoxin chemotactic receptor
P21730	C5AR1	GPCR	Tchem	C5a anaphylatoxin chemotactic receptor 1
Q9NY47	CACNA2D2	IC	Tclin	Voltage-dependent calcium channel subunit alpha-2/delta-2
Q7Z3S7	CACNA2D4	IC	Tbio	Voltage-dependent calcium channel subunit alpha-2/delta-4
Q00975	CACNA1B	IC	Tclin	Voltage-dependent N-type calcium channel subunit alpha-1B
Q08289	CACNB2	IC	Tbio	Voltage-dependent L-type calcium channel subunit beta-2
Q8IU99	CALHM1	IC	Tbio	Calcium homeostasis modulator protein 1
P51813	BMX	Kinase	Tchem	Cytoplasmic tyrosine-protein kinase BMX
P54289	CACNA2D1	IC	Tclin	Voltage-dependent calcium channel subunit alpha-2/delta-1
Q8IZS8	CACNA2D3	IC	Tbio	Voltage-dependent calcium channel subunit alpha-2/delta-3
Q13936	CACNA1C	IC	Tclin	Voltage-dependent L-type calcium channel subunit alpha-1C
Q15878	CACNA1E	IC	Tbio	Voltage-dependent R-type calcium channel subunit alpha-1E
O43497	CACNA1G	IC	Tclin	Voltage-dependent T-type calcium channel subunit alpha-1G
P30411	BDKRB2	GPCR	Tclin	B2 bradykinin receptor
O00238	BMPR1B	Kinase	Tchem	Bone morphogenetic protein receptor type-1B
Q9P296	C5AR2	GPCR	Tbio	C5a anaphylatoxin chemotactic receptor 2
Q01668	CACNA1D	IC	Tclin	Voltage-dependent L-type calcium channel subunit alpha-1D
O60840	CACNA1F	IC	Tchem	Voltage-dependent L-type calcium channel subunit alpha-1F
O00305	CACNB4	IC	Tbio	Voltage-dependent L-type calcium channel subunit beta-4
P46663	BDKRB1	GPCR	Tchem	B1 bradykinin receptor
Q8IWQ3	BRSK2	Kinase	Tchem	Serine/threonine-protein kinase BRSK2
P32247	BRS3	GPCR	Tchem	Bombesin receptor subtype-3
Q86XJ0	CALHM3	IC	Tdark	Calcium homeostasis modulator protein 3
Q16602	CALCRL	GPCR	Tchem	Calcitonin gene-related peptide type 1 receptor
P15056	BRAF	Kinase	Tclin	Serine/threonine-protein kinase B-raf
O43683	BUB1	Kinase	Tchem	Mitotic checkpoint serine/threonine-protein kinase BUB1
O76090	BEST1	IC	Tbio	Bestrophin-1
Q8TDC3	BRSK1	Kinase	Tchem	Serine/threonine-protein kinase BRSK1
O95180	CACNA1H	IC	Tclin	Voltage-dependent T-type calcium channel subunit alpha-1H
Q9P0X4	CACNA1I	IC	Tclin	Voltage-dependent T-type calcium channel subunit alpha-1I
P54284	CACNB3	IC	Tbio	Voltage-dependent L-type calcium channel subunit beta-3
Q9Y698	CACNG2	IC	Tbio	Voltage-dependent calcium channel gamma-2 subunit
Q9BXT2	CACNG6	IC	Tdark	Voltage-dependent calcium channel gamma-6 subunit
Q06187	BTK	Kinase	Tclin	Tyrosine-protein kinase BTK
P30988	CALCR	GPCR	Tclin	Calcitonin receptor
P41180	CASR	GPCR	Tclin	Extracellular calcium-sensing receptor
P51684	CCR6	GPCR	Tchem	C-C chemokine receptor type 6
Q06432	CACNG1	IC	Tbio	Voltage-dependent calcium channel gamma-1 subunit
Q8WXS5	CACNG8	IC	Tdark	Voltage-dependent calcium channel gamma-8 subunit
P32246	CCR1	GPCR	Tchem	C-C chemokine receptor type 1
Q15131	CDK10	Kinase	Tbio	Cyclin-dependent kinase 10
Q14004	CDK13	Kinase	Tchem	Cyclin-dependent kinase 13
P32248	CCR7	GPCR	Tbio	C-C chemokine receptor type 7
P21127	CDK11B	Kinase	Tchem	Cyclin-dependent kinase 11B
Q96Q40	CDK15	Kinase	Tchem	Cyclin-dependent kinase 15
Q07002	CDK18	Kinase	Tchem	Cyclin-dependent kinase 18
P48960	ADGRE5	GPCR	Tbio	CD97 antigen
O00311	CDC7	Kinase	Tchem	Cell division cycle 7-related protein kinase
P51679	CCR4	GPCR	Tclin	C-C chemokine receptor type 4
Q8IZL9	CDK20	Kinase	Tbio	Cyclin-dependent kinase 20
Q00535	CDK5	Kinase	Tchem	Cyclin-dependent-like kinase 5
Q92772	CDKL2	Kinase	Tchem	Cyclin-dependent kinase-like 2
O76039	CDKL5	Kinase	Tchem	Cyclin-dependent kinase-like 5
Q8TCT0	CERK	Kinase	Tbio	Ceramide kinase
P41597	CCR2	GPCR	Tchem	C-C chemokine receptor type 2
Q9BWU1	CDK19	Kinase	Tchem	Cyclin-dependent kinase 19
P06493	CDK1	Kinase	Tchem	Cyclin-dependent kinase 1
P24941	CDK2	Kinase	Tchem	Cyclin-dependent kinase 2
Q00534	CDK6	Kinase	Tclin	Cyclin-dependent kinase 6
Q00532	CDKL1	Kinase	Tchem	Cyclin-dependent kinase-like 1
Q9UBN1	CACNG4	IC	Tdark	Voltage-dependent calcium channel gamma-4 subunit
P62955	CACNG7	IC	Tdark	Voltage-dependent calcium channel gamma-7 subunit
P32238	CCKAR	GPCR	Tclin	Cholecystokinin receptor type A
Q9NYV4	CDK12	Kinase	Tbio	Cyclin-dependent kinase 12
P50613	CDK7	Kinase	Tchem	Cyclin-dependent kinase 7
Q8WXS4	TMEM37	IC	Tbio	Voltage-dependent calcium channel gamma-like subunit
P51686	CCR9	GPCR	Tchem	C-C chemokine receptor type 9
O00421	CCRL2	GPCR	Tchem	C-C chemokine receptor-like 2
Q9UQ88	CDK11A	Kinase	Tchem	Cyclin-dependent kinase 11A
O94921	CDK14	Kinase	Tchem	Cyclin-dependent kinase 14
Q00536	CDK16	Kinase	Tchem	Cyclin-dependent kinase 16
P49336	CDK8	Kinase	Tchem	Cyclin-dependent kinase 8
O14757	CHEK1	Kinase	Tchem	Serine/threonine-protein kinase Chk1
P35790	CHKA	Kinase	Tchem	Choline kinase alpha
O60359	CACNG3	IC	Tbio	Voltage-dependent calcium channel gamma-3 subunit
Q9UF02	CACNG5	IC	Tdark	Voltage-dependent calcium channel gamma-5 subunit
Q00537	CDK17	Kinase	Tchem	Cyclin-dependent kinase 17
Q00526	CDK3	Kinase	Tchem	Cyclin-dependent kinase 3
P11802	CDK4	Kinase	Tclin	Cyclin-dependent kinase 4
Q8IVW4	CDKL3	Kinase	Tchem	Cyclin-dependent kinase-like 3
Q5MAI5	CDKL4	Kinase	Tdark	Cyclin-dependent kinase-like 4
Q9NYQ6	CELSR1	GPCR	Tbio	Cadherin EGF LAG seven-pass G-type receptor 1
P13569	CFTR	IC	Tclin	Cystic fibrosis transmembrane conductance regulator
P46092	CCR10	GPCR	Tbio	C-C chemokine receptor type 10
P51677	CCR3	GPCR	Tchem	C-C chemokine receptor type 3
P51681	CCR5	GPCR	Tclin	C-C chemokine receptor type 5
P51685	CCR8	GPCR	Tchem	C-C chemokine receptor type 8
P50750	CDK9	Kinase	Tchem	Cyclin-dependent kinase 9
Q9HCU4	CELSR2	GPCR	Tbio	Cadherin EGF LAG seven-pass G-type receptor 2
Q9NYQ7	CELSR3	GPCR	Tbio	Cadherin EGF LAG seven-pass G-type receptor 3
O00574	CXCR6	GPCR	Tbio	C-X-C chemokine receptor type 6
Q86XQ3	CATSPER3	IC	Tchem	Cation channel sperm-associated protein 3
P32302	CXCR5	GPCR	Tbio	C-X-C chemokine receptor type 5
Q8N568	DCLK2	Kinase	Tchem	Serine/threonine-protein kinase DCLK2
P25025	CXCR2	GPCR	Tchem	C-X-C chemokine receptor type 2
P27707	DCK	Kinase	Tchem	Deoxycytidine kinase
O43293	DAPK3	Kinase	Tchem	Death-associated protein kinase 3
P20827	EFNA1	Kinase	Tbio	Ephrin-A1
P21709	EPHA1	Kinase	Tchem	Ephrin type-A receptor 1
P29317	EPHA2	Kinase	Tclin	Ephrin type-A receptor 2
P54756	EPHA5	Kinase	Tchem	Ephrin type-A receptor 5
P29322	EPHA8	Kinase	Tchem	Ephrin type-A receptor 8
Q5JZY3	EPHA10	Kinase	Tbio	Ephrin type-A receptor 10
P54762	EPHB1	Kinase	Tchem	Ephrin type-B receptor 1
P54753	EPHB3	Kinase	Tchem	Ephrin type-B receptor 3
P29323	EPHB2	Kinase	Tchem	Ephrin type-B receptor 2
Q92731	ESR2	NR	Tclin	Estrogen receptor beta
P04626	ERBB2	Kinase	Tclin	Receptor tyrosine-protein kinase erbB-2
P62508	ESRRG	NR	Tchem	Estrogen-related receptor gamma
Q13627	DYRK1A	Kinase	Tchem	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
Q9BQI3	EIF2AK1	Kinase	Tchem	Eukaryotic translation initiation factor 2-alpha kinase 1
Q9HBU6	ETNK1	Kinase	Tbio	Ethanolamine kinase 1
O43781	DYRK3	Kinase	Tchem	Dual specificity tyrosine-phosphorylation-regulated kinase 3
O00418	EEF2K	Kinase	Tchem	Eukaryotic elongation factor 2 kinase
Q9NVF9	ETNK2	Kinase	Tdark	Ethanolamine kinase 2
P21462	FPR1	GPCR	Tchem	fMet-Leu-Phe receptor
P25090	FPR2	GPCR	Tchem	N-formyl peptide receptor 2
P25089	FPR3	GPCR	Tbio	N-formyl peptide receptor 3
P42685	FRK	Kinase	Tchem	Tyrosine-protein kinase FRK
Q9ULW2	FZD10	GPCR	Tbio	Frizzled-10
Q14332	FZD2	GPCR	Tbio	Frizzled-2
O75084	FZD7	GPCR	Tbio	Frizzled-7
Q96N19	GPR137	GPCR	Tbio	Integral membrane protein GPR137
Q9UP38	FZD1	GPCR	Tbio	Frizzled-1
Q9NPG1	FZD3	GPCR	Tbio	Frizzled-3
Q9ULV1	FZD4	GPCR	Tbio	Frizzled-4
Q13467	FZD5	GPCR	Tbio	Frizzled-5
O60353	FZD6	GPCR	Tbio	Frizzled-6
Q01415	GALK2	Kinase	Tbio	N-acetylgalactosamine kinase
O60755	GALR3	GPCR	Tchem	Galanin receptor type 3
P47870	GABRB2	IC	Tclin	Gamma-aminobutyric acid receptor subunit beta-2
O14764	GABRD	IC	Tclin	Gamma-aminobutyric acid receptor subunit delta
Q02643	GHRHR	GPCR	Tclin	Growth hormone-releasing hormone receptor
Q8NGA4	GPR32P1	GPCR	Tdark	Putative G-protein coupled receptor GPR32P1
P51570	GALK1	Kinase	Tchem	Galactokinase
Q9Y2I7	PIKFYVE	Kinase	Tbio	1-phosphatidylinositol 3-phosphate 5-kinase
O43603	GALR2	GPCR	Tchem	Galanin receptor type 2
P04150	NR3C1	NR	Tclin	Glucocorticoid receptor
Q14802	FXYD3	IC	Tbio	FXYD domain-containing ion transport regulator 3
P47211	GALR1	GPCR	Tchem	Galanin receptor type 1
P32239	CCKBR	GPCR	Tclin	Gastrin/cholecystokinin type B receptor
Q99928	GABRG3	IC	Tclin	Gamma-aminobutyric acid receptor subunit gamma-3
P34903	GABRA3	IC	Tclin	Gamma-aminobutyric acid receptor subunit alpha-3
Q8N1C3	GABRG1	IC	Tclin	Gamma-aminobutyric acid receptor subunit gamma-1
Q8N0W3	FUK	Kinase	Tbio	L-fucose kinase
O75899	GABBR2	GPCR	Tclin	Gamma-aminobutyric acid type B receptor subunit 2
P31644	GABRA5	IC	Tclin	Gamma-aminobutyric acid receptor subunit alpha-5
P28472	GABRB3	IC	Tclin	Gamma-aminobutyric acid receptor subunit beta-3
P48546	GIPR	GPCR	Tchem	Gastric inhibitory polypeptide receptor
P58549	FXYD7	IC	Tbio	FXYD domain-containing ion transport regulator 7
Q9UBS5	GABBR1	GPCR	Tclin	Gamma-aminobutyric acid type B receptor subunit 1
O14976	GAK	Kinase	Tchem	Cyclin-G-associated kinase
O75311	GLRA3	IC	Tchem	Glycine receptor subunit alpha-3
Q8TDU6	GPBAR1	GPCR	Tchem	G-protein coupled bile acid receptor 1
O95838	GLP2R	GPCR	Tclin	Glucagon-like peptide 2 receptor
Q8TDV5	GPR119	GPCR	Tchem	Glucose-dependent insulinotropic receptor
Q5T6X5	GPRC6A	GPCR	Tbio	G-protein coupled receptor family C group 6 member A
Q96P88	GNRHR2	GPCR	Tbio	Putative gonadotropin-releasing hormone II receptor
Q8NDV2	GPR26	GPCR	Tbio	G-protein coupled receptor 26
O15529	GPR42	GPCR	Tdark	G-protein coupled receptor 42
Q9Y2T5	GPR52	GPCR	Tchem	Probable G-protein coupled receptor 52
Q9BZJ8	GPR61	GPCR	Tbio	Probable G-protein coupled receptor 61
Q96P67	GPR82	GPCR	Tdark	Probable G-protein coupled receptor 82
Q9GZN0	GPR88	GPCR	Tchem	Probable G-protein coupled receptor 88
P42261	GRIA1	IC	Tclin	Glutamate receptor 1
Q7Z602	GPR141	GPCR	Tdark	Probable G-protein coupled receptor 141
Q8TDV2	GPR148	GPCR	Tdark	Probable G-protein coupled receptor 148
Q8TDT2	GPR152	GPCR	Tbio	Probable G-protein coupled receptor 152
Q5UAW9	GPR157	GPCR	Tdark	Probable G-protein coupled receptor 157
Q9UJ42	GPR160	GPCR	Tbio	Probable G-protein coupled receptor 160
Q8N6U8	GPR161	GPCR	Tbio	G-protein coupled receptor 161
Q9BXC1	GPR174	GPCR	Tchem	Probable G-protein coupled receptor 174
O15218	GPR182	GPCR	Tbio	G-protein coupled receptor 182
P32249	GPR183	GPCR	Tchem	G-protein coupled receptor 183
P42263	GRIA3	IC	Tclin	Glutamate receptor 3
P48058	GRIA4	IC	Tclin	Glutamate receptor 4
P39086	GRIK1	IC	Tclin	Glutamate receptor ionotropic, kainate 1
Q13003	GRIK3	IC	Tclin	Glutamate receptor ionotropic, kainate 3
P32298	GRK4	Kinase	Tchem	G protein-coupled receptor kinase 4
P43250	GRK6	Kinase	Tchem	G protein-coupled receptor kinase 6
Q8WTQ7	GRK7	Kinase	Tchem	Rhodopsin kinase
Q13255	GRM1	GPCR	Tchem	Metabotropic glutamate receptor 1
Q14832	GRM3	GPCR	Tchem	Metabotropic glutamate receptor 3
Q9NS67	GPR27	GPCR	Tdark	Probable G-protein coupled receptor 27
Q9UPC5	GPR34	GPCR	Tchem	Probable G-protein coupled receptor 34
P46089	GPR3	GPCR	Tbio	G-protein coupled receptor 3
P46093	GPR4	GPCR	Tchem	G-protein coupled receptor 4
Q9BZJ6	GPR63	GPCR	Tdark	Probable G-protein coupled receptor 63
Q9NQS5	GPR84	GPCR	Tbio	G-protein coupled receptor 84
P42262	GRIA2	IC	Tclin	Glutamate receptor 2
Q9ULK0	GRID1	IC	Tbio	Glutamate receptor ionotropic, delta-1
Q13002	GRIK2	IC	Tclin	Glutamate receptor ionotropic, kainate 2
Q9NQ84	GPRC5C	GPCR	Tdark	G-protein coupled receptor family C group 5 member C
Q02846	GUCY2D	Kinase	Tbio	Retinal guanylyl cyclase 1
Q96P66	GPR101	GPCR	Tbio	Probable G-protein coupled receptor 101
Q8IZ08	GPR135	GPCR	Tbio	Probable G-protein coupled receptor 135
Q96CH1	GPR146	GPCR	Tdark	Probable G-protein coupled receptor 146
Q8NGU9	GPR150	GPCR	Tdark	Probable G-protein coupled receptor 150
Q6NV75	GPR153	GPCR	Tdark	Probable G-protein coupled receptor 153
P30550	GRPR	GPCR	Tchem	Gastrin-releasing peptide receptor
P30968	GNRHR	GPCR	Tclin	Gonadotropin-releasing hormone receptor
Q5T6J7	IDNK	Kinase	Tbio	Probable gluconokinase
Q86SQ4	ADGRG6	GPCR	Tbio	G-protein coupled receptor 126
Q86SP6	GPR149	GPCR	Tdark	Probable G-protein coupled receptor 149
P0CG08	GPR89B	IC	Tdark	Golgi pH regulator B
P49685	GPR15	GPCR	Tbio	G-protein coupled receptor 15
Q13304	GPR17	GPCR	Tchem	Uracil nucleotide/cysteinyl leukotriene receptor
Q15760	GPR19	GPCR	Tbio	Probable G-protein coupled receptor 19
Q99679	GPR21	GPCR	Tdark	Probable G-protein coupled receptor 21
Q49SQ1	GPR33	GPCR	Tdark	Probable G-protein coupled receptor 33
O95800	GPR75	GPCR	Tdark	Probable G-protein coupled receptor 75
P60893	GPR85	GPCR	Tbio	Probable G-protein coupled receptor 85
Q9BY21	GPR87	GPCR	Tbio	G-protein coupled receptor 87
Q8WXG9	ADGRV1	GPCR	Tbio	G-protein coupled receptor 98
P47775	GPR12	GPCR	Tbio	G-protein coupled receptor 12
O00155	GPR25	GPCR	Tdark	Probable G-protein coupled receptor 25
O00270	GPR31	GPCR	Tbio	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor
O75388	GPR32	GPCR	Tbio	Probable G-protein coupled receptor 32
Q9Y5Y3	GPR45	GPCR	Tbio	Probable G-protein coupled receptor 45
Q9Y2T6	GPR55	GPCR	Tchem	G-protein coupled receptor 55
Q9BZJ7	GPR62	GPCR	Tdark	Probable G-protein coupled receptor 62
